year,total_world
1965,17.9852321
1966,19.8060069
1967,19.98657074
1968,22.1200451
1969,23.25796438
1970,25.69319599
1971,27.87916846
1972,29.87710082
1973,32.08492382
1974,33.95881358
1975,34.48367863
1976,38.46095587
1977,40.56255723
1978,42.97047784
1979,46.17532882
1980,49.39586385
1981,53.16504248
1982,61.38905691
1983,68.05372783
1984,76.06028496
1985,77.86819955
1986,85.7331483
1987,91.84883434
1988,94.62250339
1989,107.2602891
1990,120.9811702
1991,126.5748839
1992,136.143641
1993,141.536024
1994,148.1326189
1995,155.2643996
1996,160.4754379
1997,174.061143
1998,185.5151581
1999,199.5257292
2000,218.5963064
2001,231.6758214
2002,260.4567699
2003,283.1007995
2004,323.3759273
2005,362.8403294
2006,410.2743972
2007,473.2850413
2008,548.7966403
2009,636.6719028
2010,760.0966257
2011,904.4762259
2012,1062.421446
2013,1238.877813
2014,1405.239391
2015,1626.682962
2016,1839.877372
2017,2170.811164
2018,2467.957462
2019,2805.517699